JUDUL,KELURAHAN,HARGA,LB,LT,KT,KM,GRS
Rumah Tebet Dalam Jakarta Selatan,Tidak Diketahui,4000000000,190,175,4,2,1
rumah lama layak huni strategis dekat jalan tebet raya,Tidak Diketahui,2500000000,120,90,4,1,1
Rumah Huk,Tidak Diketahui,4750000000,180,196,5,5,1
Rumah Cantik 3 Lt @Brand New Akses Jalan 2 Mobil TERMURAH di Tebet Timur,Tebet Timur,4400000000,250,96,6,5,2
Rumah cantik,Tidak Diketahui,4500000000,220,140,5,4,2
hunian asri diselatan jakarta,Tidak Diketahui,5000000000,250,180,5,3,2
Rumah Mewah Cantik Asri Siap Huni Di Gudang Peluru Tebet Jakarta Selatan,Tidak Diketahui,13000000000,200,393,5,3,1
Rumah ditebet barat1,Tidak Diketahui,4150000000,216,135,5,4,1
Rumah Tebet Barat Dalam XB,Tebet Barat,3800000000,260,130,6,3,2
Rumah Bagus dan Minimalis Tebet,Tidak Diketahui,8100000000,245,240,3,3,2
Rumah terawat siap huni bagus jalanan dua mobil di Tebet,Tidak Diketahui,5250000000,147,108,4,3,2
Rumah Asri Dan Sangat Strateaigis Di Tebet,Tidak Diketahui,4500000000,120,145,6,4,2
Rumah Lokasi Strategis Dekat Jalan Raya di Tebet,Tidak Diketahui,6200000000,170,200,8,5,2
rumah tebet,Tidak Diketahui,6500000000,250,200,6,3,2
Rumah Baru Murah di Tebet Timur Jakarta Selatan,Tebet Timur,3500000000,170,112,4,5,2
Rumah Terawat Akses One Get One,Tidak Diketahui,3199000000,150,149,3,2,0
Rumah Tebet Jalan 2 Mobil Lokasi Strategis,Tidak Diketahui,3200000000,150,130,3,2,1
RUMAH BARU MURAH SIAP HUNI DI TEBET TIMUR JAKRTA - YUNIA,Tebet Timur,3799000000,200,130,3,3,1
Rumah Bagus,Tidak Diketahui,6000000000,250,198,7,4,2
Rumah Second Hook Lokasi Premium Di Tebet - YUNIA 081282940124,Tidak Diketahui,9790000000,403,393,5,3,2
rumah tinggal tempati.,Tidak Diketahui,5500000000,170,270,6,3,1
Rumah Tebet Murah Lokasi Strategis Ramai Jakarta Selatan,Tidak Diketahui,3350000000,120,135,4,3,1
rumah dua lantai kebon baru TEBET JAKARTA SELATAN,Kebon Baru,750000000,78,80,3,2,0
RUMAH TEBET 165m2 SIAP HUNI HUB : 081280069222 FIFI PR-15815,Tidak Diketahui,3500000000,250,165,6,4,2
Rumah Baru Minimalis daerah Tebet Timur,Tebet Timur,4700000000,180,137,4,3,2
Rumah baru 2 lantai siap huni di tebet dengan harga terjangkau,Tidak Diketahui,3500000000,170,112,3,4,1
RUMAH KOKOH AMAN DAN STRATEGIS DI TEBET,Tidak Diketahui,2850000000,160,90,4,2,1
Rumah baru di Tebet Posisi hoek,Tidak Diketahui,3500000000,160,110,3,3,2
rumah cantik di Tebet,Tidak Diketahui,3100000000,120,137,5,2,0
Rumah Tebet Mas Indah,Tidak Diketahui,13000000000,196,245,7,3,1
Rumah 2 lantai ber carport 2 SHM di tebet jakarta selatan,Tidak Diketahui,4300000000,170,112,4,5,2
Tebet Rumah Siap Huni Aman Dalam Komplek,Tidak Diketahui,5500000000,180,140,3,4,0
Rumah Mewah 2 Lantai Siap Huni Desain Apik Di Tebet Barat Jakarta Selatan,Tebet Barat,6750000000,350,210,4,4,1
Rumah Lokasi Strategis Di Tebet,Tidak Diketahui,3200000000,200,104,4,3,1
Dijual Rumah Siap Huni di Komp Gudang Peluru,Tidak Diketahui,8250000000,460,282,6,5,2
Rumah Tebet Dekat Stasiun Tebet,Tidak Diketahui,3250000000,150,130,5,2,1
Rumah Tebet,Tidak Diketahui,3499000000,110,150,3,2,0
Rumah Minimalis di Tebet Jakarta Selatan,Tidak Diketahui,5000000000,330,335,8,4,1
Rumah Mewah di Tebet Barat Jakarta Selatan,Tebet Barat,9500000000,445,247,6,5,2
Rumah second semi cluster di Tebet Timur Dalam Jaksel,Tebet Timur,3400000000,140,104,4,3,1
Rumah Bagus,Tidak Diketahui,5000000000,325,160,9,6,2
Rumah Di Kebon Baru,Kebon Baru,5600000000,250,225,5,3,2
BEST PRICE Rumah di Tebet,Tidak Diketahui,4500000000,180,135,4,3,1
Rumah strategis di Kebon baru,Kebon Baru,10800000000,500,400,6,5,3
Rumah Termurah di Tebet Utara Jakarta Selatan,Tidak Diketahui,2600000000,210,91,5,4,1
Rumah Murah dibawah harga dekat Mal Kota Casablanca Jakarta Selatan,Tidak Diketahui,3600000000,180,127,4,4,1
brand new rumah minimalis di tebet dekat sekolah dan TOl,Tidak Diketahui,3450000000,170,112,3,4,2
Rumah 1,Tebet Timur,7400000000,200,257,4,3,1
Rumah Bagus di Menteng Dalam,Menteng Dalam,10000000000,400,282,8,4,3
Rumah mewah bebas banjir murah di tebet,Tidak Diketahui,15000000000,800,1225,6,9,2
Rumah minimalis di Tebet,Tidak Diketahui,3500000000,170,108,5,3,3
rumah siap huni 2lantai akses jalan 2mobil di asembaris tebet,Tidak Diketahui,1700000000,100,80,3,2,0
Rumah Strategis Dan Minimalis Di Tebet,Tidak Diketahui,3500000000,250,141,5,3,2
rumah siap huni akses jalan 2motor lokasi asembaris,Tidak Diketahui,1300000000,100,90,3,2,0
Rumah Tebet Barat 2Lantai siap huni strategis area!,Tebet Barat,2800000000,160,90,5,3,1
Rumah Cozy Interior Cantik Dekat Ke Jalan Raya di Kebon Baru Tebet,Kebon Baru,5000000000,325,160,5,5,0
Butuh Cepat,Tidak Diketahui,3200000000,150,80,5,3,1
Rumah Siap Huni di Jl Tebet Raya,Tidak Diketahui,11000000000,275,305,5,3,1
Rumah bagus Full Furnish,Tidak Diketahui,5000000000,320,150,5,5,1
Rumah Bagus di Tebet Barat,Tebet Barat,2200000000,70,98,2,1,0
Rumah Tua Di Tebet,Tidak Diketahui,5600000000,156,192,5,2,2
Dijual Sangat Murah Rumah Di Tebet Timur Lokasi Premium Dan Strategis - Jakarta Selatan,Tebet Timur,3800000000,211,180,5,4,3
Rumah Lama Tebet Timur,Tebet Timur,4000000000,200,146,3,1,1
Edisi Turun Harga Masa Covid19 BU Rumah Mewah di Menteng Dalam,Menteng Dalam,15000000000,800,692,5,4,4
Rumah Dijual Tebet,Tidak Diketahui,3850000000,200,130,4,4,2
Rumah Siap Huni Jln 2 Mbl Nyaman,Tidak Diketahui,4200000000,160,140,4,3,2
TEBET BARAT - Rumah Besar Akses 2 Mobil. SHM,Tebet Barat,5990000000,350,210,5,4,3
Rumah siap huni di tebet timur jakarta selatan,Tebet Timur,4000000000,180,152,4,3,2
Rumah Baru Di Tebet,Tidak Diketahui,9500000000,340,240,4,3,2
Rumah siap huni baru di tebet jakarta selatan,Tidak Diketahui,4000000000,190,140,4,4,2
Di Kebun Baru Rumah Terawat,Tidak Diketahui,4000000000,139,230,4,4,1
Di jual Rumah Cantik Bangunan 2 Lantai di Tebet,Tidak Diketahui,7000000000,400,282,8,4,3
Rumah Tua di Tebet,Tidak Diketahui,4525000000,100,161,4,2,1
Rumah Lama Jalan Lebar,Tidak Diketahui,15000000000,400,578,6,3,2
Tebet Rumah Harga Menarik Jalan Dua Mobil Dekat Kasan Kuliner Tebet,Tidak Diketahui,3600000000,170,146,3,3,1
Dijual Rumah Cantik Murah Siap Huni Di Tebet Timur,Tebet Timur,3950000000,200,148,4,3,1
Dijual Rumah Brand New di Jl Tebet Timur Dalam,Tebet Timur,3900000000,200,130,3,2,2
TEBET - Siap Huni di Jalan 1 Mobil,Tidak Diketahui,3850000000,236,137,4,3,2
Dijual Rumah Lokasi Sangat Strategis,Tidak Diketahui,9200000000,450,695,8,6,2
TEBET Akses 3 Mobil,Tidak Diketahui,5950000000,220,200,3,3,2
Dijual Cepat rumah di Bukit Duri Tebet SHM,Bukit Duri,7500000000,500,280,4,4,1
Dijual Rumah Tebet Timur Lokasi Premium Nyaman Dekat Taman Honda Jalan 1 Mobil,Tebet Timur,3100000000,200,103,3,3,1
Dijual Rumah Second Siap Huni Strategis di Tebet Jaksel,Tidak Diketahui,7000000000,400,182,4,3,2
Dijual Rumah di Tebet,Tidak Diketahui,11000000000,280,344,3,3,2
Rumah baru siap huni di tebet jakarta selatan,Tidak Diketahui,4350000000,180,132,4,3,2
Rumah Cantik Menawan Siap Huni Di Tebet Timur Jakarta Selatan,Tebet Timur,4300000000,250,155,5,3,2
TEBET Rumah Mewah Siap Huni Lingkungan Aman dan Nyaman,Tidak Diketahui,8800000000,400,230,6,6,2
3 Bedrooms House Tebet,Tidak Diketahui,13000000000,216,384,3,3,2
Di Jual Rumah Brand New Di Tebet,Tidak Diketahui,4700000000,250,150,4,3,2
TEBET Rumah Baru Siap Huni Jalan Dua Mobil Lebar Dekat Jalan Raya,Tidak Diketahui,7200000000,250,161,3,3,2
Dijual Cepat Rumah Minimalis Modern siap huni Di Kebon Baru,Kebon Baru,3500000000,192,120,5,4,2
TEBET Rumah Mewah dan Terawat Lokasi Premium Akses Mudah Jalan Tiga Mobil,Tidak Diketahui,7900000000,380,225,5,3,2
TEBET MENTENG DALAM - Rumah Cantik,Menteng Dalam,2800000000,150,103,3,3,2
TEBET DALAM - Rumah Brand New Minimalis SHM,Tidak Diketahui,2600000000,130,75,3,3,1
Rumah Siap Huni di Tebet Timur 1,Tebet Timur,5900000000,250,202,5,4,2
Dijual Rumah Sipa Huni Dengan Harga Murah di Kebon Baru Tebet Jakarta,Kebon Baru,850000000,78,69,4,2,0
jl. Tebet timur dalam,Tebet Timur,3600000000,250,180,4,2,0
Rumah Tebet Timur Hitung Tanah 338m2,Tebet Timur,6850000000,219,338,5,3,3
Rumah Baru,Kebon Baru,4500000000,325,226,6,4,1
Rumah Layak Huni Di Tebet Jual Cpt Jalan 1 Mobil 30m Dari Jln Besar,Tidak Diketahui,2600000000,120,150,3,2,1
Rumah Mewah Di Komplek Kebon Baru,Kebon Baru,5750000000,350,240,7,5,0
Rumah Baru Renovasi Siap Huni Teebet (Best Price),Tidak Diketahui,2999000000,140,140,5,3,1
Rumah Cantik Brand New 3 lantai siap huni,Tidak Diketahui,5000000000,180,127,5,4,2
Rumah hoek di Tebet Barat,Tebet Barat,4000000000,200,135,7,4,2
Rumah brand new siap huni di Tebet Timur,Tebet Timur,3500000000,150,112,4,4,1
The Classic Luxury House With Pool @Brand New near Cassablanca Area,Tidak Diketahui,6100000000,375,130,5,4,3
Rumah Siap Huni di Jl. Tebet Utara,Tidak Diketahui,6500000000,250,181,8,4,2
Rumah Minimalis Tebet Dekat Jalan 2 Mobil,Tidak Diketahui,3750000000,150,112,3,5,2
Rumah Minimalis Tebet 2 Lantai Dekat Pusat Bisnis Tebet,Tidak Diketahui,6300000000,200,133,4,3,2
Rumah Siap Huni Dalam Komplek Nyaman Tebet-Jakarta Selatan,Tidak Diketahui,15000000000,480,387,4,4,3
Rumah Minimalis Tebet 90 Meter,Tidak Diketahui,2650000000,125,90,3,4,2
Rumah Mediterania Jalan Lebar Lokasi Strategis Tebet Jakarta Selatan,Tidak Diketahui,14500000000,500,307,3,4,2
Rumah Cantik Siap Huni Jalan Lebar Di Kawasan Premium Tebet,Tidak Diketahui,8750000000,350,202,4,5,3
Rumah Siap Huni Jalan 2 Mobil,Tidak Diketahui,5800000000,200,138,5,4,2
Rumah Siap Huni Di Tebet Timur,Tebet Timur,15000000000,250,310,4,5,2
Rumah Hitung Tanah Di Jalan Lebar,Tidak Diketahui,15000000000,400,580,5,4,3
Rumah Di Jalan 1 Mobil Kawasan Nyaman Tebet Timur,Tebet Timur,2300000000,100,90,2,2,1
Tebet Barat Rumah Bagus Siap Huni,Tebet Barat,3950000000,200,166,4,4,3
Tebet Rumah Lama Murah,Tidak Diketahui,2750000000,120,135,3,2,1
Tebet Barat Rumah Murah Strategis Area,Tebet Barat,3250000000,251,146,8,8,2
Rumah Cantik Siap Huni,Tidak Diketahui,2590000000,170,76,3,3,2
Regensi Tebet Mas,Tidak Diketahui,4500000000,140,140,5,4,2
Rumah bagus SIAP HUNI Akses Jalan 2 Mobil One Way di Tebet Timur,Tebet Timur,4500000000,200,148,5,4,2
5 Bedrooms House Tebet,Tidak Diketahui,7150000000,250,162,5,3,2
Rumah Siap Huni Dijual Tebet Timur Tebet Jakarta Selatan,Tebet Timur,10500000000,200,189,5,2,0
Rumah Bagus 2 Lt Akses Jalan Lebar di Tebet Utara,Tidak Diketahui,6500000000,245,125,4,3,3
Rumah mewah siap huni di tebet barat jakarta selatan,Tebet Barat,6750000000,350,210,4,4,1
Rumah Siap Huni Tebet Barat Tebet Jakarta Selatan,Tebet Barat,9500000000,280,304,5,5,0
Rumah Siap Huni di Tebet Timur 1,Tebet Timur,6500000000,200,222,6,2,2
Rumah di Tebet Utara Jalan 2 Mobil,Tidak Diketahui,3600000000,170,146,4,3,1
Dijual Rumah Mewah 2 Lantai di Tebet Barat,Tebet Barat,8800000000,400,230,6,6,2
TEBET TIMUR LT 135 M2 - Rumah Termurah,Tebet Timur,1900000000,135,135,3,3,2
Rumah Termurah di Tebet Barat Jakarta Selatan,Tebet Barat,2550000000,150,90,4,4,2
Rumah Baru di Tebet Barat Jakarta Selatan,Tebet Barat,3300000000,120,90,5,4,2
TEBET Rumah Siap Huni Desain Rumah Rumah Bagus dan Nyaman,Tidak Diketahui,3100000000,200,90,3,3,1
TEBET BARAT Rumah Siap Huni Lokasi Premium Jalan Tiga Mobil,Tebet Barat,5950000000,220,200,5,4,1
TEBET Rumah Siap Huni Lokasi Sangat Bagus Aman dan Nyaman JARANG ADA,Tidak Diketahui,6100000000,250,204,5,3,2
TEBET Rumah Baru Siap Huni Lokasi Premium Nyaman Untuk Tempat Tinggal,Tidak Diketahui,3200000000,150,87,4,3,2
TEBET Rumah Siap Huni Kondisi Relatif Baru,Tidak Diketahui,2500000000,140,78,4,3,1
Brand New Townhouse Mewah Di Dekat Patra Kuningan,Tidak Diketahui,12500000000,600,208,4,5,4
Rumah Besar,Tidak Diketahui,8000000000,152,230,3,3,1
Rumah Murah Siap Huni di Jl. Palbatu III Tebet,Tidak Diketahui,690000000,90,50,3,1,0
Rumah 2 Tingkat Menteng Dalam Tebet Jakarta Selatan,Menteng Dalam,15000000000,500,501,6,3,0
Rumah Lama Hitung Tanah Supomo Tebet Jakarta Selatan,Tidak Diketahui,9000000000,200,230,6,3,2
Di Jual Di Bawah Harga Pasaran Rumah Siap Huni Di Tebet Timur Jaksel,Tebet Timur,4000000000,180,155,4,3,2
Dijual rumah di tebet jakarta selatan strategis dekat jl. mt. haryono,Tidak Diketahui,3750000000,200,135,5,3,3
Rumah murah asem baris,Tidak Diketahui,2100000000,160,120,6,3,1
Rumah tebet,Tidak Diketahui,8700000000,160,261,4,4,2
Rumah dijual,Tebet Timur,2900000000,175,135,4,2,0
Di Jual Rumah Cantik di TEBET,Tidak Diketahui,3500000000,235,140,5,4,1
Rumah pinggir jalan,Tidak Diketahui,5500000000,170,270,6,3,1
Dijual rumah baru minimalis di Di Tebet Jakarta Selatan,Tidak Diketahui,3500000000,120,86,5,4,1
Rumah Onprogress 2,Tidak Diketahui,2500000000,200,100,3,3,2
Tebet Rumah Jalan 2 Mobil Harga Menarik,Tidak Diketahui,3600000000,170,146,4,3,2
Dijual Cepat Rumah Di Kebon Baru,Kebon Baru,2400000000,147,154,3,2,1
Rumah Asri Dijual Cepat Di Tebet,Tidak Diketahui,4900000000,179,158,4,4,2
Rumah Asri Di Tebet Dijual Cepat,Tidak Diketahui,3250000000,250,145,8,8,2
Rumah Asri Di Tebet,Tidak Diketahui,10000000000,600,306,6,5,3
Rumah Dijual Di Tebet,Tidak Diketahui,12500000000,250,189,6,4,2
Rumah Dijual Di Tebet,Tidak Diketahui,5500000000,200,150,5,3,1
Rumah Asri Di Tebet,Tidak Diketahui,6000000000,150,159,5,4,2
Rumah Asri Di Tebet,Tidak Diketahui,16000000000,300,405,6,4,0
Rumah Di Tebet,Tidak Diketahui,5000000000,200,130,5,4,1
Rumah Asri Di Tebet Dijual,Tidak Diketahui,6000000000,340,173,5,4,2
Rumah Dijual Di Tebet,Tidak Diketahui,5600000000,156,192,6,2,2
Rumah Asri Di Tebet - Dijual Cepat,Tidak Diketahui,3750000000,300,180,5,3,2
Rumah Asri Di Kebon Baru,Kebon Baru,5600000000,250,225,5,3,2
Rumah Asri Di Tebet - Dijual Cepat,Tidak Diketahui,3200000000,150,80,5,3,1
Dijual Rumah Minimalis Siap Huni Daerah Tebet,Tidak Diketahui,2500000000,140,77,3,3,1
Dijual Rumah Lama Layak Huni Daerah Tebet,Tidak Diketahui,9900000000,200,340,4,4,1
Rumah baru tebet timur,Tebet Timur,3800000000,200,130,3,3,2
Dijual Rumah Komplek Tebet Barat Lokasi Premium Nyaman Jalan Lebar,Tebet Barat,9500000000,300,368,4,3,3
Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 3 Mobil,Tidak Diketahui,10000000000,350,273,4,3,4
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil,Tidak Diketahui,12500000000,465,350,6,6,2
Rumah Tua Hook di Tebet,Tidak Diketahui,2700000000,135,150,4,2,3
Tebet barat rumah modern minimalis private pool,Tebet Barat,9800000000,400,248,5,5,3
TEBET BARAT RAYA Rumah Hitung Tanah Cocok Tinggal,Tebet Barat,11500000000,400,300,9,6,6
Rumah Siap Huni di Tebet Dalam IV,Tidak Diketahui,2600000000,120,142,4,2,1
Dijual Cepat Rumah Kavling di Tebet Ready 3 Unit,Tidak Diketahui,3100000000,120,86,5,4,2
Rumah Tebet Saharjo,Tidak Diketahui,4650000000,320,135,6,5,1
Rumah Cantik Tebet,Tidak Diketahui,8750000000,250,200,4,4,2
Dijual Rumah Cantik Tebet Brand New Lokasi Premium Nyaman Jalan Lebar,Tidak Diketahui,7200000000,250,161,3,3,2
Dijual Rumah Lama Tebet Dalam Lokasi Strategis Tenang Jalan 2 Mobil,Tidak Diketahui,8000000000,250,300,3,3,2
3 Bedrooms House Tebet,Tidak Diketahui,750000000,80,78,3,1,0
KEBON BARU Rumah Hitung Tanah Jalan Dua Mobil Lingkungan Nyaman,Kebon Baru,5000000000,250,335,7,5,1
TEBET - SIAP HUNI di Jalan 2 Mobil,Tidak Diketahui,8500000000,260,256,5,5,2
Rumah Tebet Siap Huni Kompleks Gudang Peluru Tebet,Tidak Diketahui,9500000000,400,345,5,3,1
Dijual Rumah Second Akses 1 Mobil di Tebet Dalam Jakarta Selatan,Tidak Diketahui,3800000000,200,140,4,3,1
Rumah Minimalis Jalan 1 Mobil Tebet,Tidak Diketahui,2650000000,125,90,3,3,2
Dijual Rumah Cantik Tebet Lokasi Strategis Nyaman Jalan 2 Mobil,Tidak Diketahui,12000000000,230,244,5,4,3
Rumah Hitung Tanah di Komplek Kejaksaan Tebet Barat,Tebet Barat,3300000000,170,154,5,3,2
Rumah di Tebet Timur Dalam I,Tebet Timur,3900000000,260,146,3,1,1
Rumah Tua Akses Jalan 2 Mobil Di Tebet Barat Jakarta Selatan,Tebet Barat,7800000000,200,253,4,3,3
Rumah Brand New Di Tebet Barat,Tebet Barat,4700000000,200,150,4,4,2
For Sale Boarding House at Tebet & Furnished HSE-A0494,Tidak Diketahui,7500000000,444,200,10,10,2
Rumah Lama Di Tebet Barat,Tebet Barat,16000000000,400,400,5,4,4
Jual Segera,Tidak Diketahui,2600000000,120,142,3,2,1
rumah siap huni dalam kompleks Tebet Mas,Tidak Diketahui,13000000000,250,322,4,3,2
Rumah 100% Baru Di Tebet,Tidak Diketahui,4500000000,250,96,4,5,2
rumah siap huni di lokasi kebon baru,Kebon Baru,3850000000,200,186,3,2,2
Rumah siap huni dijual,Tidak Diketahui,1900000000,125,133,3,3,1
Di Jual Cepat Rumah Di Tebet,Tidak Diketahui,15000000000,500,384,4,3,3
Rumah tua hitung tanah di Tebet Timur,Tebet Timur,8000000000,168,221,5,3,2
Rumah Bagus Dalam Kompleks Prime Tebet,Tidak Diketahui,15000000000,480,378,5,4,1
Minimalis Jalan 1 Mobil Tebet Dekat Sekolah 115,Tidak Diketahui,2700000000,125,90,3,3,2
Dijual Rumah Di Tebet Jakarta Selatan 5 Kmr 300m2 Luas Harga Best,Tidak Diketahui,6500000000,300,248,5,4,0
Minimalis Baru Jalan 2 Mobil Tebet Timur,Tebet Timur,4500000000,250,96,5,4,1
Rumah Siap Huni Tebet,Tidak Diketahui,6500000000,200,222,4,2,1
Rumah Baru,Tebet Barat,4000000000,150,120,4,3,1
Rumah bagus layout nyaman banyak bonus,Tidak Diketahui,4000000000,250,135,4,5,1
Rumah cantik dgn layout nyaman,Tidak Diketahui,2700000000,210,91,5,3,0
Dijual Rumah Siap Huni di Tebet,Tidak Diketahui,9000000000,470,353,9,6,3
Tebet Timur Rumah Lama,Tebet Timur,7500000000,200,288,4,2,1
Rumah Model Villa Taman Lebar Di Tebet Jaksel,Tidak Diketahui,5500000000,200,454,3,4,1
Rumah Tebet Barat,Tebet Barat,8250000000,400,230,6,4,2
Rumah Rasamala Turun Harga Rmh Siap Huni Blkg Bidakara Jaksel,Tidak Diketahui,8500000000,300,205,4,4,4
Dijual Rumah 2 Lt Tebet Jaksel,Tidak Diketahui,10750000000,200,189,5,4,3
Dijual rumah di Kebun Baru,Tidak Diketahui,2458000000,165,135,4,3,1
TEBET,Bukit Duri,3500000000,125,153,3,2,1
Dijual Rumah Komplek Gudang Peluru Lokasi Premium Nyaman Jalan 2 Mobil,Tidak Diketahui,5500000000,280,216,4,3,3
Dijual Rumah 2lantai Di Tebet Barat Dalam Strategis Dekat Perkantoran,Tebet Barat,10000000000,300,368,4,4,4
Rumah Siap Huni Tebet Timur,Tebet Timur,2999000000,102,102,3,3,2
Turun Harga Rumah Mewah Tebet Jakarta Selatan,Tidak Diketahui,5899000000,350,130,6,6,3
Cluster Cipinang Mal Bassura,Tidak Diketahui,3245000000,120,152,4,4,4
Rumah Siap Huni Tebet,Tidak Diketahui,5750000128,320,183,6,3,3
Tebet Rumah Bagus Dijual,Tidak Diketahui,6500000000,300,213,5,4,4
Dijual rumah di tebet,Tidak Diketahui,6500000000,220,181,8,6,1
4 Bedrooms House Tebet,Tidak Diketahui,4800000000,250,170,4,4,3
Rumah Model Minimalis jalan Lebar,Tidak Diketahui,16000000000,500,420,4,4,4
Tebet Dalam Rumah Siap Huni Dalam Komplek,Tidak Diketahui,13000000000,380,312,4,3,2
Rumah Siap Huni Dijual Jalan 2 Mobil,Tidak Diketahui,7000000000,180,283,4,3,2
4 Bedrooms House Tebet,Tidak Diketahui,2800000000,250,90,4,3,2
3 Bedrooms House Tebet,Tidak Diketahui,1850000000,80,90,3,2,0
Dijual Rumah Tebet Lokasi Strategis Nyaman Depan Taman Jalan 1 Mobil,Tidak Diketahui,4300000000,117,205,4,3,3
Dijual Rumah Tebet Timur Lokasi Premium Nyaman Jalan 2 Mobil,Tebet Timur,4300000000,200,145,3,3,2
